mes,horas sol/dia,Irradiancia total/dia,Irradiancia min total/dia,Irradiancia max total/dia,ancho clase
Enero,11,4744.1,4392.12,5096.08,703.96
Febrero,11,5494.145,5109.75,5878.54,768.79
Marzo,13,7294.735,6819.58,7769.89,950.31
Abril,14,8001.32,7637.98,8364.66,726.68
Mayo,14,8664.34,8295.73,9032.95,737.22
Junio,14,8304.415,7762.42,8846.41,1083.99
Julio,14,7208.92,6647.16,7770.68,1123.52
Agosto,14,6683.04,6197.82,7168.26,970.44
Septiembre,13,6146.43,5695.62,6597.24,901.62
Octubre,12,5543.705,5302.86,5784.55,481.69
Noviembre,12,4964.48,4528.18,5400.78,872.6
Diciembre,11,4258.74,3911.65,4605.83,694.18
